trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
100,False,"{'a': 0.5, 'e': 0.7389974843073925}",20,2,-95.30267544179856,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 2}",1
101,False,"{'a': 0.5, 'e': 0.7258473585227622}",20,3,-192.47228216307158,"{0: 8, 1: 0, 2: 4, 3: 2, 4: 3}",1
102,False,"{'a': 0.5, 'e': 0.7120397264489002}",30,16,-28.604822993542527,"{0: 11, 1: 1, 2: 0, 3: 2, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.6975417127713452}",25,15,-39.783880414431366,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
104,False,"{'a': 0.5, 'e': 0.6823187984099125}",30,0,-119.59782719093012,"{0: 23, 1: 0, 2: 3, 3: 2, 4: 2}",0
105,False,"{'a': 0.5, 'e': 0.6663347383304081}",20,8,5.489010034309055,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.6495514752469286}",30,5,-79.78734936460863,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",1
107,False,"{'a': 0.5, 'e': 0.631929049009275}",25,0,-91.3663292891836,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
108,False,"{'a': 0.5, 'e': 0.6134255014597388}",20,0,-65.23640647893346,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
109,False,"{'a': 0.5, 'e': 0.5939967765327258}",25,0,-65.39979540325047,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.573596615359362}",25,6,-5.363591295441149,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.5521764461273301}",20,15,2.055383360544217,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.5296852684336966}",20,16,6.781892304930185,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.5060695318553814}",20,9,-12.514092493860959,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.48127300844815046}",30,0,-29.052782603230984,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
